 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Cadillac XT4 	1,592 	1,528 	1,655 	1,354 	1,406 	1,250 	614 	537 	639 	- 	- 	-
Cadillac XT5 	2,118 	2,033 	2,202 	2,152 	2,235 	1,987 	1,979 	1,731 	2,060 	- 	- 	-
Cadillac XT6 	1,593 	1,529 	1,656 	1,641 	1,704 	1,514 	1,313 	1,148 	1,367 	- 	- 	-
Chevrolet Blazer 	4,837 	4,643 	5,030 	4,429 	4,600 	4,089 	6,564 	5,741 	6,832 	- 	- 	-
Chevrolet Blazer EV 	2,062 	1,980 	2,145 	2,211 	2,296 	2,041 	- 	- 	- 	- 	- 	-
Chevrolet Bolt 	4 	4 	5 	11 	12 	10 	- 	- 	- 	- 	- 	-
Chevrolet BrightDrop 400/600 	- 	- 	- 	- 	- 	- 	818 	715 	851 	- 	- 	-
Chevrolet Camaro 	19 	19 	20 	37 	39 	35 	2 	1 	1 	- 	- 	-
Chevrolet Colorado 	8,619 	8,274 	8,963 	9,103 	9,453 	8,403 	8,429 	7,373 	8,773 	- 	- 	-
Chevrolet Corvette 	2,265 	2,174 	2,355 	1,959 	2,034 	1,808 	1,757 	1,537 	1,829 	- 	- 	-
Chevrolet Equinox 	23,667 	22,721 	24,614 	19,884 	20,649 	18,354 	33,881 	29,634 	35,264 	- 	- 	-
Chevrolet Equinox EV 	3,443 	3,305 	3,581 	5,882 	6,108 	5,430 	- 	- 	- 	- 	- 	-
Chevrolet Express 	4,124 	3,959 	4,289 	5,106 	5,303 	4,713 	5,537 	4,843 	5,763 	- 	- 	-
Chevrolet Malibu 	1,790 	1,718 	1,861 	1,126 	1,169 	1,039 	342 	299 	356 	- 	- 	-
Chevrolet Silverado 	43,238 	41,508 	44,968 	53,870 	55,942 	49,726 	48,579 	42,489 	50,562 	- 	- 	-
Chevrolet Suburban 	4,531 	4,350 	4,713 	5,518 	5,731 	5,094 	4,324 	3,782 	4,500 	- 	- 	-
Chevrolet Tahoe 	9,942 	9,545 	10,340 	10,220 	10,613 	9,434 	8,776 	7,676 	9,135 	- 	- 	-
Chevrolet TrailBlazer 	9,774 	9,383 	10,165 	8,507 	8,834 	7,852 	7,055 	6,171 	7,343 	- 	- 	-
Chevrolet Traverse 	9,444 	9,066 	9,821 	12,307 	12,780 	11,360 	13,327 	11,656 	13,871 	- 	- 	-
Chevrolet Trax 	19,674 	18,887 	20,461 	20,453 	21,240 	18,880 	17,086 	14,944 	17,783 	- 	- 	-
Chrysler 300 	114 	109 	118 	50 	52 	46 	24 	21 	25 	- 	- 	-
Chrysler Grand Caravan 	- 	- 	- 	- 	- 	- 	3 	2 	3 	- 	- 	-
Chrysler Pacifica 	10,803 	10,371 	11,235 	6,053 	6,286 	5,587 	9,614 	8,409 	10,006 	- 	- 	-
Chrysler Voyager 	773 	742 	804 	1,723 	1,789 	1,590 	1,505 	1,316 	1,567 	- 	- 	-
Dodge Challenger 	307 	295 	320 	196 	203 	180 	76 	67 	79 	- 	- 	-
Dodge Charger 	351 	337 	365 	194 	202 	179 	1,034 	904 	1,076 	- 	- 	-
Dodge Charger BEV 	649 	623 	675 	794 	825 	733 	- 	- 	- 	- 	- 	-
Dodge Dart 	- 	- 	- 	- 	- 	- 	2 	2 	2 	- 	- 	-
Dodge Durango 	4,567 	4,384 	4,750 	6,989 	7,258 	6,451 	6,866 	6,005 	7,146 	- 	- 	-
Dodge Hornet 	1,369 	1,315 	1,424 	520 	540 	480 	974 	852 	1,014 	- 	- 	-
Dodge Journey 	- 	- 	- 	- 	- 	- 	4 	4 	5 	- 	- 	-
Dodge Viper 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Fiat 500 	149 	143 	155 	115 	119 	106 	99 	86 	103 	- 	- 	-
Fiat 500L 	- 	- 	- 	- 	- 	- 	- 	1 	1 	- 	- 	-
Fiat 500X 	25 	24 	26 	18 	19 	17 	11 	9 	11 	- 	- 	-
Ford Bronco 	9,056 	9,837 	13,702 	14,400 	14,629 	10,439 	13,798 	13,378 	10,682 	- 	- 	-
Ford Bronco Sport 	9,372 	10,030 	13,961 	11,886 	14,472 	12,717 	10,938 	10,925 	8,960 	- 	- 	-
Ford E-Series 	2,939 	2,968 	3,772 	3,699 	3,379 	2,707 	3,576 	3,531 	3,624 	- 	- 	-
Ford Edge 	633 	797 	648 	962 	356 	321 	- 	- 	- 	- 	- 	-
Ford Escape 	9,902 	13,958 	13,497 	12,903 	17,395 	14,934 	11,216 	12,290 	8,633 	- 	- 	-
Ford Expedition 	4,620 	4,389 	4,473 	11,116 	11,298 	8,884 	7,518 	8,724 	5,602 	- 	- 	-
Ford Explorer 	13,505 	15,071 	18,738 	20,989 	20,504 	16,122 	18,837 	20,617 	16,546 	- 	- 	-
Ford F-Series 	58,644 	59,310 	72,435 	72,765 	79,817 	69,887 	73,538 	68,318 	65,876 	- 	- 	-
Ford Maverick 	8,730 	10,277 	19,008 	20,183 	15,508 	12,350 	12,022 	11,956 	10,870 	- 	- 	-
Ford Mustang 	2,399 	2,792 	4,186 	4,922 	5,010 	4,242 	4,229 	3,235 	1,803 	- 	- 	-
Ford Mustang Mach E 	3,529 	3,312 	4,766 	2,927 	4,724 	2,527 	5,308 	7,226 	7,643 	- 	- 	-
Ford Ranger 	4,502 	4,448 	5,963 	7,006 	6,319 	4,739 	5,974 	5,074 	4,253 	- 	- 	-
Ford Transit 	7,675 	13,877 	13,028 	12,340 	15,219 	13,918 	13,461 	15,660 	13,382 	- 	- 	-
Ford Transit Connect 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Genesis G70 	986 	- 	1,005 	803 	773 	1,185 	1,079 	944 	1,123 	- 	- 	-
Genesis G80 	252 	343 	319 	320 	297 	302 	312 	273 	325 	- 	- 	-
Genesis G90 	202 	122 	99 	116 	119 	130 	156 	136 	162 	- 	- 	-
Genesis GV60 	166 	224 	320 	192 	148 	119 	184 	161 	191 	- 	- 	-
Genesis GV70 	1,585 	2,289 	2,890 	2,634 	3,130 	3,198 	3,290 	2,878 	3,424 	- 	- 	-
Genesis GV80 	1,078 	1,564 	2,147 	1,920 	1,940 	1,629 	2,343 	2,049 	2,439 	- 	- 	-
Genesis GV80 Coupe 	- 	276 	327 	322 	316 	260 	- 	- 	- 	- 	- 	-
GMC Acadia 	4,419 	4,242 	4,596 	5,441 	5,650 	5,023 	4,282 	3,746 	4,457 	- 	- 	-
GMC Canyon 	3,032 	2,911 	3,153 	3,121 	3,241 	2,881 	3,272 	2,862 	3,405 	- 	- 	-
GMC Hummer EV 	1,160 	1,113 	1,206 	1,522 	3,241 	1,405 	1,799 	1,574 	1,873 	- 	- 	-
GMC Savana 	858 	824 	893 	2,668 	2,770 	2,463 	2,330 	2,038 	2,425 	- 	- 	-
GMC Sierra 	26,180 	25,133 	27,228 	30,606 	31,783 	28,252 	30,462 	26,643 	31,705 	- 	- 	-
GMC Terrain 	5,316 	5,103 	5,529 	5,542 	5,755 	5,116 	7,542 	6,597 	7,850 	- 	- 	-
GMC Yukon 	7,775 	7,464 	8,086 	8,396 	8,719 	7,750 	6,857 	5,997 	7,137 	- 	- 	-
Honda Accord 	9,665 	8,906 	12,041 	11,277 	14,017 	12,059 	13,090 	15,695 	12,927 	- 	- 	-
Honda Civic 	16,173 	18,178 	24,625 	23,553 	25,809 	19,898 	19,044 	21,596 	16,349 	- 	- 	-
Honda CR-V 	27,280 	30,458 	45,587 	41,483 	37,848 	29,905 	32,268 	34,123 	28,549 	- 	- 	-
Honda HR-V 	11,817 	13,484 	15,643 	13,912 	13,258 	10,996 	11,715 	13,663 	10,870 	- 	- 	-
Honda Odyssey 	5,046 	6,774 	10,282 	9,677 	8,712 	9,542 	8,821 	6,690 	5,416 	- 	- 	-
Honda Passport 	2,643 	3,497 	5,558 	5,457 	5,480 	4,433 	4,762 	5,173 	4,447 	- 	- 	-
Honda Pilot 	8,849 	10,204 	13,589 	12,157 	11,220 	9,175 	9,910 	10,791 	8,712 	- 	- 	-
Honda Prologue 	3,744 	2,933 	2,884 	1,847 	2,110 	2,799 	6,318 	9,347 	4,571 	- 	- 	-
Honda Ridgeline 	2,866 	3,254 	4,831 	4,274 	4,289 	4,767 	4,999 	4,555 	3,550 	- 	- 	-
Hyundai Elantra 	8,866 	10,163 	14,461 	13,125 	15,741 	12,412 	12,354 	15,282 	13,808 	- 	- 	-
Hyundai Ioniq 5 	2,250 	2,442 	3,919 	3,411 	3,898 	3,172 	5,818 	7,773 	8,408 	- 	- 	-
Hyundai Ioniq 6 	871 	1,012 	1,435 	1,106 	1,197 	701 	949 	1,047 	814 	- 	- 	-
Hyundai IONIQ 9 	- 	- 	- 	- 	302 	711 	1,073 	1,016 	1,075 	- 	- 	-
Hyundai Kona 	4,365 	5,629 	7,024 	7,914 	7,779 	7,117 	6,289 	7,083 	4,078 	- 	- 	-
Hyundai Nexo 	- 	- 	- 	1 	- 	1 	- 	- 	1 	- 	- 	-
Hyundai Palisade 	6,687 	7,806 	11,742 	10,502 	11,207 	9,253 	13,235 	15,560 	6,790 	- 	- 	-
Hyundai Santa Cruz 	1,786 	1,938 	2,924 	2,494 	3,031 	2,048 	2,311 	2,313 	1,788 	- 	- 	-
Hyundai Santa Fe 	8,296 	9,562 	13,543 	12,417 	11,030 	10,230 	14,128 	12,840 	10,114 	- 	- 	-
Hyundai Sonata 	4,757 	5,334 	5,706 	6,012 	6,082 	5,095 	4,413 	4,793 	3,722 	- 	- 	-
Hyundai Tuscon 	15,025 	16,317 	23,631 	22,054 	19,905 	16,378 	16,406 	17,954 	17,569 	- 	- 	-
Hyundai Venue 	1,600 	1,829 	2,634 	2,467 	4,349 	2,584 	2,567 	2,862 	2,836 	- 	- 	-
Infiniti Q50 	135 	130 	141 	32 	33 	29 	10 	8 	10 	- 	- 	-
Infiniti Q60 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Infiniti QX50 	689 	661 	716 	508 	527 	468 	489 	428 	509 	- 	- 	-
Infiniti QX55 	283 	272 	295 	179 	186 	166 	189 	165 	196 	- 	- 	-
Infiniti QX60 	1,926 	1,849 	2,003 	2,474 	2,569 	2,284 	2,790 	2,441 	2,904 	- 	- 	-
Infiniti QX80 	1,355 	1,300 	1,409 	970 	1,007 	895 	1,033 	904 	1,076 	- 	- 	-
Jaguar E-Pace 	50 	48 	52 	40 	42 	37 	34 	30 	36 	- 	- 	-
Jaguar F-Pace 	367 	352 	381 	151 	156 	139 	377 	330 	393 	- 	- 	-
Jaguar F-Type 	40 	38 	42 	14 	14 	13 	34 	30 	36 	- 	- 	-
Jaguar I-Pace 	433 	416 	451 	17 	18 	16 	103 	90 	107 	- 	- 	-
Jaguar XF 	50 	48 	52 	110 	115 	102 	55 	48 	57 	- 	- 	-
Jeep Cherokee 	52 	50 	54 	34 	35 	31 	62 	54 	64 	- 	- 	-
Jeep Compass 	10,577 	10,154 	11,000 	7,801 	8,101 	7,201 	9,633 	8,426 	10,027 	- 	- 	-
Jeep Gladiator 	4,019 	3,858 	4,180 	4,505 	4,679 	4,159 	4,498 	3,934 	4,681 	- 	- 	-
Jeep Grand Cherokee 	16,155 	15,509 	16,801 	17,289 	17,954 	15,959 	18,712 	16,366 	19,475 	- 	- 	-
Jeep Grand Wagoneer 	616 	592 	641 	441 	458 	407 	447 	391 	465 	- 	- 	-
Jeep Renegade 	123 	118 	128 	74 	77 	69 	36 	31 	37 	- 	- 	-
Jeep Wagoneer 	1,800 	1,728 	1,872 	2,774 	2,881 	2,561 	7,121 	6,228 	7,411 	- 	- 	-
Jeep Wagoneer S 	865 	830 	900 	1,239 	1,286 	1,143 	- 	- 	- 	- 	- 	-
Jeep Wrangler 	12,654 	12,148 	13,160 	16,096 	16,715 	14,858 	14,560 	12,735 	15,155 	- 	- 	-
Kia Carnival 	3,665 	4,440 	6,469 	6,405 	6,975 	5,198 	5,928 	6,522 	5,603 	- 	- 	-
Kia EV6 	1,542 	1,275 	921 	656 	801 	680 	1,290 	1,796 	2,116 	- 	- 	-
Kia EV9 	1,232 	1,360 	1,164 	232 	37 	913 	1,737 	2,679 	3,094 	- 	- 	-
Kia Forte 	- 	- 	13,719 	- 	13,870 	- 	- 	- 	8,829 	- 	- 	-
Kia K4 	11,616 	11,669 	- 	13,097 	- 	11,564 	11,188 	12,091 	- 	- 	- 	-
Kia K5 	4,357 	4,991 	6,399 	6,248 	6,957 	5,613 	5,879 	6,847 	5,290 	- 	- 	-
Kia Niro 	1,202 	1,485 	2,431 	2,350 	2,354 	1,966 	2,751 	3,124 	2,446 	- 	- 	-
Kia Rio 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Kia Seltos 	2,840 	3,707 	4,828 	4,051 	5,254 	4,259 	4,917 	5,574 	4,635 	- 	- 	-
Kia Sorento 	6,871 	7,699 	10,547 	9,659 	9,093 	7,050 	7,965 	8,626 	6,502 	- 	- 	-
Kia Soul 	3,554 	4,006 	3,717 	5,069 	5,043 	4,737 	4,665 	5,548 	4,069 	- 	- 	-
Kia Sportage 	11,357 	13,072 	16,872 	16,178 	17,063 	12,630 	14,392 	18,023 	14,515 	- 	- 	-
Kia Telluride 	8,771 	9,599 	11,473 	10,860 	11,560 	9,239 	10,411 	12,177 	8,408 	- 	- 	-
Lamborghini Urus 	- 	- 	- 	- 	- 	- 	144 	126 	150 	- 	- 	-
Land Rover Defender 	2,900 	2,784 	3,016 	2,427 	2,520 	2,240 	2,504 	2,190 	2,606 	- 	- 	-
Land Rover Discovery / LR4 	333 	320 	347 	304 	316 	281 	309 	270 	321 	- 	- 	-
Land Rover Discovery Sport 	300 	288 	312 	427 	443 	394 	343 	300 	357 	- 	- 	-
Land Rover Range Rover 	2,633 	2,528 	2,739 	1,550 	1,610 	1,431 	2,470 	2,160 	2,570 	- 	- 	-
Land Rover Range Rover Evoque 	433 	416 	451 	882 	916 	814 	412 	360 	428 	- 	- 	-
Land Rover Range Rover Sport 	2,133 	2,048 	2,219 	1,747 	1,815 	1,613 	2,264 	1,980 	2,356 	- 	- 	-
Land Rover Range Rover Velar 	1,000 	960 	1,040 	530 	551 	489 	617 	540 	643 	- 	- 	-
Lexus ES 	2,273 	2,905 	4,020 	3,377 	3,517 	3,089 	3,502 	3,897 	3,208 	- 	- 	-
