 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Nissan Maxima 	22 	- 	- 	- 	1 	1 	- 	- 	- 	- 	- 	-
Nissan Murano 	2,901 	2,785 	3,017 	3,217 	3,340 	2,969 	4,861 	4,252 	5,059 	- 	- 	-
Nissan Pathfinder 	6,554 	6,292 	- 	9,076 	9,425 	8,378 	8,830 	7,723 	9,191 	- 	- 	-
Nissan Rogue 	20,701 	19,873 	21,529 	16,026 	16,642 	14,793 	17,926 	15,678 	18,657 	- 	- 	-
Nissan Sentra 	18,179 	17,451 	18,906 	10,463 	10,866 	9,658 	13,795 	12,065 	14,358 	- 	- 	-
Nissan Titan 	519 	498 	- 	118 	123 	109 	40 	35 	42 	- 	- 	-
Nissan Versa 	6,377 	6,122 	6,632 	3,879 	4,029 	3,581 	3,719 	3,253 	3,871 	- 	- 	-
Nissan Z 	718 	689 	747 	552 	573 	510 	354 	310 	369 	- 	- 	-
Polestar Polestar 2 	50 	48 	52 	- 	- 	- 	26 	23 	27 	- 	- 	-
Polestar Polestar 3 	500 	480 	520 	- 	- 	- 	446 	390 	464 	- 	- 	-
Porsche 718 	266 	- 	276 	744 	772 	687 	- 	- 	- 	- 	- 	-
Porsche 911 	643 	- 	669 	1,127 	1,170 	1,040 	- 	- 	- 	- 	- 	-
Porsche Cayenne 	1,087 	- 	1,130 	1,687 	1,752 	1,557 	- 	- 	- 	- 	- 	-
Porsche Macan 	1,890 	- 	1,966 	2,390 	2,482 	2,206 	- 	- 	- 	- 	- 	-
Porsche Panamera 	174 	- 	181 	383 	398 	353 	- 	- 	- 	- 	- 	-
Porsche Taycan 	416 	- 	432 	359 	373 	332 	- 	- 	- 	- 	- 	-
Ram Pickup 	26,283 	25,231 	27,334 	32,237 	33,477 	29,758 	30,207 	26,420 	31,440 	- 	- 	-
Ram ProMaster 	5,173 	4,966 	5,380 	5,114 	10,030 	4,720 	5,362 	4,690 	5,581 	- 	- 	-
Ram ProMaster City 	1 	- 	- 	1 	- 	- 	7 	5 	6 	- 	- 	-
Rivian EDV 	633 	608 	659 	709 	736 	655 	1,029 	900 	1,071 	- 	- 	-
Rivian EDV 500 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Rivian R1S 	1,833 	1,760 	1,907 	2,060 	2,139 	1,901 	2,230 	1,950 	2,321 	- 	- 	-
Rivian R1T 	533 	512 	555 	574 	596 	530 	617 	540 	643 	- 	- 	-
Rivian RCV 	33 	32 	35 	3 	4 	3 	14 	12 	14 	- 	- 	-
Rolls Royce Cullinan 	- 	- 	- 	- 	- 	- 	75 	66 	79 	- 	- 	-
Subaru Ascent 	3,113 	3,382 	4,584 	3,758 	3,547 	3,095 	3,007 	3,757 	3,073 	- 	- 	-
Subaru BRZ 	224 	244 	334 	331 	326 	206 	222 	220 	177 	- 	- 	-
Subaru CrossTrek 	12,625 	12,818 	18,169 	14,935 	15,793 	15,994 	17,628 	20,442 	14,321 	- 	- 	-
Subaru Forester 	12,948 	14,347 	22,570 	19,330 	15,434 	11,343 	11,886 	14,225 	10,954 	- 	- 	-
Subaru Impreza 	2,429 	2,429 	3,049 	2,559 	2,457 	2,055 	2,373 	2,644 	2,109 	- 	- 	-
Subaru Legacy 	1,596 	1,664 	2,540 	1,876 	1,793 	1,689 	1,918 	2,087 	1,884 	- 	- 	-
Subaru Outback 	10,794 	11,601 	17,539 	11,501 	11,214 	10,608 	14,982 	15,768 	12,406 	- 	- 	-
Subaru Solterra 	1,052 	925 	1,154 	949 	1,246 	1,175 	1,562 	1,466 	443 	- 	- 	-
Subaru WRX 	1,573 	1,715 	1,539 	772 	482 	350 	457 	611 	640 	- 	- 	-
Tesla Cybertruck 	2,000 	1,920 	2,080 	2,026 	2,104 	1,870 	2,435 	2,130 	2,535 	- 	- 	-
Tesla Model 3 	13,667 	13,120 	14,213 	13,169 	13,675 	12,156 	17,390 	15,210 	18,100 	- 	- 	-
Tesla Model S 	1,000 	960 	1,040 	675 	701 	623 	755 	660 	785 	- 	- 	-
Tesla Model X 	23,667 	22,720 	24,613 	1,013 	1,052 	935 	1,201 	1,050 	1,250 	- 	- 	-
Tesla Model Y 	3,000 	2,880 	3,120 	25,325 	26,299 	23,377 	29,498 	25,800 	30,702 	- 	- 	-
Toyota 4Runner 	160 	1,295 	6,980 	9,261 	6,662 	5,793 	14,582 	13,423 	8,844 	- 	- 	-
Toyota Avalon 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Toyota bZ4X 	2,242 	1,690 	1,678 	1,064 	1,352 	1,223 	1,934 	1,020 	61 	- 	- 	-
Toyota C-HR 	- 	- 	- 	- 	- 	- 	- 	1 	- 	- 	- 	-
Toyota Camry 	19,007 	21,640 	29,661 	28,350 	31,337 	26,335 	26,052 	28,523 	24,521 	- 	- 	-
Toyota Corolla 	17,341 	16,620 	21,495 	22,473 	23,461 	18,662 	20,018 	21,456 	18,457 	- 	- 	-
Toyota Corolla Cross 	6,367 	6,874 	10,879 	9,765 	9,844 	7,595 	8,638 	6,993 	6,386 	- 	- 	-
Toyota Crown 	639 	611 	986 	980 	916 	922 	1,090 	1,406 	1,139 	- 	- 	-
Toyota Crown Signia 	2,565 	2,537 	2,806 	1,910 	1,387 	1,077 	1,348 	1,590 	1,057 	- 	- 	-
Toyota GR86 	788 	843 	1,146 	990 	851 	809 	1,041 	987 	652 	- 	- 	-
Toyota Grand Highlander 	5,585 	9,175 	10,958 	13,304 	14,819 	11,577 	10,854 	13,066 	10,494 	- 	- 	-
Toyota Highlander 	2,672 	3,822 	5,523 	6,272 	6,696 	5,071 	4,472 	4,066 	4,083 	- 	- 	-
Toyota Land Cruiser 	4,879 	4,677 	5,860 	4,527 	4,508 	2,885 	2,658 	3,007 	2,145 	- 	- 	-
Toyota Mirai 	17 	16 	- 	- 	6 	7 	32 	34 	45 	- 	- 	-
Toyota Prius 	4,884 	4,511 	7,258 	6,849 	6,659 	3,684 	4,118 	5,001 	3,813 	- 	- 	-
Toyota RAV4 	36,250 	37,643 	41,509 	41,957 	45,282 	36,810 	39,773 	42,311 	36,599 	- 	- 	-
Toyota Sequoia 	1,381 	1,830 	1,896 	2,602 	2,387 	2,126 	2,278 	1,950 	2,036 	- 	- 	-
Toyota Sienna 	6,448 	8,080 	9,033 	10,315 	10,541 	8,345 	7,466 	7,846 	7,802 	- 	- 	-
Toyota Supra 	110 	132 	179 	177 	325 	308 	246 	311 	221 	- 	- 	-
Toyota Tacoma 	18,766 	17,110 	23,949 	23,036 	26,504 	21,508 	26,425 	26,774 	20,392 	- 	- 	-
Toyota Tundra 	10,364 	10,781 	14,405 	14,026 	13,956 	11,434 	13,541 	12,231 	10,207 	- 	- 	-
Toyota Venza 	502 	131 	39 	11 	6 	3 	4 	3 	4 	- 	- 	-
VinFast VF8 	150 	144 	156 	203 	210 	187 	137 	120 	143 	- 	- 	-
VinFast VF9 	25 	24 	26 	27 	28 	25 	51 	45 	54 	- 	- 	-
Volkswagen Arteon 	7 	6 	7 	1 	1 	1 	1 	1 	- 	- 	- 	-
Volkswagen Atlas 	5,634 	5,409 	5,859 	6,137 	6,373 	5,665 	6,553 	5,732 	6,820 	- 	- 	-
Volkswagen Atlas Sport 	2,896 	2,780 	3,012 	2,696 	2,800 	2,489 	2,610 	2,283 	2,716 	- 	- 	-
Volkswagen Golf 	887 	852 	923 	929 	964 	857 	1,019 	892 	1,061 	- 	- 	-
Volkswagen ID. Buzz 	634 	608 	659 	190 	198 	176 	847 	741 	881 	- 	- 	-
Volkswagen ID.4 	2,554 	2,452 	2,657 	1,346 	1,396 	1,242 	4,277 	3,741 	4,452 	- 	- 	-
Volkswagen Jetta 	5,926 	5,689 	6,163 	4,911 	5,100 	4,534 	3,871 	3,386 	4,029 	- 	- 	-
Volkswagen Passat 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	- 	-
Volkswagen Taos 	5,629 	5,403 	5,853 	4,693 	4,873 	4,332 	3,341 	2,922 	3,478 	- 	- 	-
Volkswagen Tiguan 	5,138 	4,933 	5,344 	3,878 	4,028 	3,580 	7,563 	6,615 	7,872 	- 	- 	-
Volvo 60-Series 	365 	867 	466 	270 	205 	37 	212 	240 	348 	- 	- 	-
Volvo 90-Series 	128 	205 	210 	167 	167 	158 	113 	170 	209 	- 	- 	-
Volvo C40 	94 	109 	112 	39 	39 	36 	- 	- 	- 	- 	- 	-
Volvo EX30 	388 	269 	528 	631 	631 	364 	590 	770 	542 	- 	- 	-
Volvo EX90 	417 	278 	305 	316 	316 	414 	185 	350 	421 	- 	- 	-
Volvo XC40 	1,201 	2,564 	2,704 	2,073 	2,073 	1,783 	1,590 	1,780 	1,518 	- 	- 	-
Volvo XC60 	3,027 	4,123 	5,556 	3,508 	3,508 	2,421 	2,210 	3,320 	3,088 	- 	- 	-
Volvo XC90 	2,516 	2,682 	4,171 	4,131 	4,131 	3,004 	2,600 	3,170 	2,632 	- 	- 	-
