https://www.goodcarbadcar.net/2025-u-s-auto-sales-figures-by-model-all-vehicle-ranked/
U.S Vehicle Model Sales by Month (All Models)
This sales data table looks at monthly sales performance for every model sold in the United States on a month to month basis for the entire year so far. It includes all major models sold in the U.S market and you can see that the monthly sales trends clearly. Seeing the individual model sales performance in this way gives you a good sense of the momentum (good or bad).

 Model	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
Tesla Cybertruck	2,000	1,920	2,080	-	-	-	-	-	-	-	-	-
Tesla Model 3	13,667	13,120	14,213	-	-	-	-	-	-	-	-	-
Tesla Model S	1,000	960	1,040	-	-	-	-	-	-	-	-	-
Tesla Model X	23,667	22,720	24,613	-	-	-	-	-	-	-	-	-
Tesla Model Y	3,000	2,880	3,120	-	-	-	-	-	-	-	-	-
Toyota 4Runner	160	1,295	6,980	9,261	6,662	-	-	-	-	-	-	-
Toyota bZ4X	2,242	1,690	1,678	1,064	1,352	-	-	-	-	-	-	-
Toyota Camry	19,007	21,640	29,661	28,350	31,337	-	-	-	-	-	-	-
Toyota Corolla	17,341	16,620	21,495	22,473	23,461	-	-	-	-	-	-	-
Toyota Corolla Cross	6,367	6,874	10,879	9,765	9,844	-	-	-	-	-	-	-
Toyota Crown	639	611	986	980	916	-	-	-	-	-	-	-
Toyota Crown Signia	2,565	2,537	2,806	1,910	1,387	-	-	-	-	-	-	-
Toyota GR86	788	843	1,146	990	851	-	-	-	-	-	-	-
Toyota Grand Highlander	5,585	9,175	10,958	13,304	14,819	-	-	-	-	-	-	-
Toyota Highlander	2,672	3,822	5,523	6,272	6,696	-	-	-	-	-	-	-
Toyota Land Cruiser	4,879	4,677	5,860	4,527	4,508	-	-	-	-	-	-	-
Toyota Mirai	17	16	-	-	6	-	-	-	-	-	-	-
Toyota Prius	4,884	4,511	7,258	6,849	6,659	-	-	-	-	-	-	-
Toyota RAV4	36,250	37,643	41,509	41,957	45,282	-	-	-	-	-	-	-
Toyota Sequoia	1,381	1,830	1,896	2,602	2,387	-	-	-	-	-	-	-
Toyota Sienna	6,448	8,080	9,033	10,315	10,541	-	-	-	-	-	-	-
Toyota Supra	110	132	179	177	325	-	-	-	-	-	-	-
Toyota Tacoma	18,766	17,110	23,949	23,036	26,504	-	-	-	-	-	-	-
Toyota Tundra	10,364	10,781	14,405	14,026	13,956	-	-	-	-	-	-	-
Toyota Venza	502	131	39	11	6	-	-	-	-	-	-	-
VinFast VF8	150	144	156	-	-	-	-	-	-	-	-	-
VinFast VF9	25	24	26	-	-	-	-	-	-	-	-	-
Volkswagen Arteon	7	6	7	-	-	-	-	-	-	-	-	-
Volkswagen Atlas	5,634	5,409	5,859	-	-	-	-	-	-	-	-	-
Volkswagen Atlas Sport	2,896	2,780	3,012	-	-	-	-	-	-	-	-	-
Volkswagen Golf	887	852	923	-	-	-	-	-	-	-	-	-
Volkswagen ID. Buzz	634	608	659	-	-	-	-	-	-	-	-	-
Volkswagen ID.4	2,554	2,452	2,657	-	-	-	-	-	-	-	-	-
Volkswagen Jetta	5,926	5,689	6,163	-	-	-	-	-	-	-	-	-
Volkswagen Taos	5,629	5,403	5,853	-	-	-	-	-	-	-	-	-
Volkswagen Tiguan	5,138	4,933	5,344	-	-	-	-	-	-	-	-	-
Volvo 60-Series	365	867	466	270	205	-	-	-	-	-	-	-
Volvo 90-Series	128	205	210	167	167	-	-	-	-	-	-	-
Volvo C40	94	109	112	39	39	-	-	-	-	-	-	-
Volvo EX30	388	269	528	631	631	-	-	-	-	-	-	-
Volvo EX90	417	278	305	316	316	-	-	-	-	-	-	-
Volvo XC40	1,201	2,564	2,704	2,073	2,073	-	-	-	-	-	-	-
Volvo XC60	3,027	4,123	5,556	3,508	3,508	-	-	-	-	-	-	-
Volvo XC90	2,516	2,682	4,171	4,131	4,131	-	-	-	-	-
Overflod Entity XF	5,000	10,254	18,100	1050	50,150	600	-	-	-	-	-	-
